"","price","address","squares","type","year","age","bed","bath","tax"
"331","$5,295,000","158 Glen Rd, Toronto, ON",NA,"Residential, House",NA,NA,"6+1","5","$20,269"
"332","$2,695,000","35 Marlborough Avenue, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$9,607"
"333","$1,300,000","88 Cumberland St #1201, Toronto, ON",NA,"Residential, Condo",NA,"New","2","2",NA
"334","$1,799,999","9544 Hutsell Rd, Northumberland, ON","3,256 sq.ft.","Farm & Agriculture, Farm / Ranch","1959","100+","3","3","$12,413"
"335","$1,198,000","16 John Smith St, East Gwillimbury, ON",NA,"Residential, House",NA,"0-5","4+1","4","$5,822"
"336","$1,049,000","1356 Monaghan Circle, Mississauga, ON","1,486 sq.ft.","Residential, House",NA,NA,"4+1","4","$5,030"
"337","$1,325,000","68 Curzon St, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$5,319"
"338","$4,495,000","330 Byng Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","7","$16,066"
"339","$1,099,000","68 Ostend Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","2","$6,069"
"340","$2,499,000","134 Parkhurst Blvd., Toronto, ON","3,400 sq.ft.","Residential, House",NA,NA,"4+1","3+1","$9,487"
"341","$5,288,000","25-10 Maple Grove Drive, Oakville, ON","3,563 sq.ft.","Residential, Condo",NA,"6-10","3","3","$20,284"
"342","$933,000","5991 Gant Cres, Mississauga, ON",NA,"Residential, House",NA,"16-30","4","4","$4,724"
"343","$1,300,000","1472 Grace River Rd, Haliburton, ON",NA,"Residential, House",NA,NA,"3+1","3","$4,600"
"344","$2,480,000","430 Winston Rd, Oakville, ON","2,899 sq.ft.","Residential, House","2012","6-15","4+2","5+1","$10,990"
"345","$1,174,900","324 St Dominic Cres, Oakville, ON","1,655 sq.ft.","Residential, House",NA,NA,"4+1","1+1","$4,416"
"346","$1,249,000","10 Walker Ave Th122, Toronto, ON",NA,"Residential, Condo",NA,"31-50","2","2","$4,666"
"347","$2,398,000","373 Wade Street, Oakville, ON","3,239 sq.ft.","Residential, House",NA,NA,"4","5+1",NA
"348","$1,449,000","278 Bloor St E #2203, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$5,205"
"349","$829,900","400 Adelaide St E #506, Toronto, ON",NA,"Residential, Condo",NA,"0-5","2","2","$3,148"
"350","$845,000","214 Timmons St, The Blue Mountains, ON",NA,"Residential, House",NA,NA,"4","2","$3,599"
"351","$849,000","557733 4th Concession N, Meaford, ON",NA,"Residential, House",NA,NA,"2","2","$2,467"
"352","$798,800","640 Irwin Cres, Newmarket, ON",NA,"Residential, House",NA,NA,"3+1","3","$4,241"
"353","$1,950,000","14650 Niagara Parkway, Niagara-on-the-Lake, ON","2,630 sq.ft.","Residential, House",NA,"23","3","3","$6,129"
"354","$849,000","42B Grant Street, Toronto, ON","1,200 sq.ft.","Residential, House",NA,"175","2+1","2","$3,772"
"355","$749,900","39 Queens Quay E, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1","1","$3,286"
